No_transaction    Items_achetés
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
10     1,2,5
20     2,4
30     2,3
40     1,2,4
50     1,2,3
60     2,3,5
70     1,3
80     1,2,3,5
90     1,2,3
100    2,3
